dexnum,name,generation,type1,type2,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,percent_male,percent_female
1,Bulbasaur,1,Grass,Poison,0.7,6.9,Overgrow,Chlorophyll,,45,49,49,65,65,45,318,87.5,12.5
2,Ivysaur,1,Grass,Poison,1.0,13.0,Overgrow,Chlorophyll,,60,62,63,80,80,60,405,87.5,12.5
3,Venusaur,1,Grass,Poison,2.0,100.0,Overgrow,Chlorophyll,,80,82,83,100,100,80,525,87.5,12.5
4,Charmander,1,Fire,,0.6,8.5,Blaze,Solar Power,,39,52,43,60,50,65,309,87.5,12.5
5,Charmeleon,1,Fire,,1.1,19.0,Blaze,Solar Power,,58,64,58,80,65,80,405,87.5,12.5
6,Charizard,1,Fire,Flying,1.7,90.5,Blaze,Solar Power,,78,84,78,109,85,100,534,87.5,12.5
7,Squirtle,1,Water,,0.5,9.0,Torrent,Rain Dish,,44,48,65,50,64,43,314,87.5,12.5
8,Wartortle,1,Water,,1.0,22.5,Torrent,Rain Dish,,59,63,80,65,80,58,405,87.5,12.5
9,Blastoise,1,Water,,1.6,85.5,Torrent,Rain Dish,,79,83,100,85,105,78,530,87.5,12.5
10,Caterpie,1,Bug,,0.3,2.9,Shield Dust,Run Away,,45,30,35,20,20,45,195,50.0,50.0
11,Metapod,1,Bug,,0.7,9.9,Shed Skin,,,50,20,55,25,25,30,205,50.0,50.0
12,Butterfree,1,Bug,Flying,1.1,32.0,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395,50.0,50.0
13,Weedle,1,Bug,Poison,0.3,3.2,Shield Dust,Run Away,,40,35,30,20,20,50,195,50.0,50.0
14,Kakuna,1,Bug,Poison,0.6,10.0,Shed Skin,,,45,25,50,25,25,35,205,50.0,50.0
15,Beedrill,1,Bug,Poison,1.0,29.5,Swarm,Sniper,,65,90,40,45,80,75,395,50.0,50.0
16,Pidgey,1,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,50.0,50.0
17,Pidgeotto,1,Normal,Flying,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,50.0,50.0
